adresse,postnummer,by,pris,type,kvm,vaerelser,byggeaar,energimaerke,liggetid,afstand_m,afstand_vindm_m,afstand_sol_m,lat,lng,url
"Gl Strandvej 163, Strib",5500,Middelfart,7495000,Villa/Parcelhus,130,4.0,2002,B,84,23.3,3111.0,1405.0,55.52556,9.76821,https://www.boliga.dk/adresse/gl-strandvej-163-5500-middelfart-1154540590
Færgevej 8,5600,Faaborg,4495000,Villa/Parcelhus,115,5.0,1933,C,8,23.7,7584.0,10151.0,55.09298,10.24567,https://www.boliga.dk/adresse/faergevej-8-5600-faaborg-1391446595
Vestpieren 10,9370,Hals,1640000,Fritidshus,111,4.0,1998,K,156,23.8,6290.0,2191.0,56.99155,10.30531,https://www.boliga.dk/adresse/vestpieren-10-9370-hals-1951745686
"Skudehavnen 29, st.",5900,Rudkøbing,1495000,Fritidshus,67,3.0,1989,E,624,23.9,1498.0,2568.0,54.94126,10.71377,https://www.boliga.dk/adresse/skudehavnen-29-st-5900-rudkoebing-383064996
Gambøtvej 37 2,5700,Svendborg,14195000,Fritidshus,236,4.0,2024,J,39,24.0,3129.0,2647.0,55.04233,10.66682,https://www.boliga.dk/adresse/gamboetvej-37-2-5700-svendborg-330717172
"Gambøtvej 37, 1. tv., Thurø",5700,Svendborg,6975000,Fritidshus,119,3.0,2024,J,106,24.0,3129.0,2647.0,55.04233,10.66682,https://www.boliga.dk/adresse/gamboetvej-37-1-tv-5700-svendborg-2103277372
"Strandvejen 63, Ballen",8305,Samsø,7295000,Fritidshus,88,4.0,1917,-,378,24.3,2210.0,3114.0,55.82289,10.63684,https://www.boliga.dk/adresse/strandvejen-63-8305-samsoe-1719297122
Møllekrogen 18,5330,Munkebo,950000,Fritidshus,28,1.0,1936,-,333,24.3,2718.0,6745.0,55.4396,10.5474,https://www.boliga.dk/adresse/moellekrogen-18-5330-munkebo-696246099
"Gambøtvej 31, 2. tv., Thurø",5700,Svendborg,6125000,Fritidshus,105,3.0,2024,J,92,24.4,3101.0,2710.0,55.04243,10.66779,https://www.boliga.dk/adresse/gamboetvej-31-2-tv-5700-svendborg-495651844
"Gambøtvej 31, 1. th., Thurø",5700,Svendborg,7825000,Fritidshus,136,3.0,2024,J,92,24.4,3101.0,2710.0,55.04243,10.66779,https://www.boliga.dk/adresse/gamboetvej-31-1-th-5700-svendborg-561759158
Dæmningen 3,5500,Middelfart,5995000,Fritidshus,47,3.0,1952,-,0,24.7,4321.0,3350.0,55.54237,9.7781,https://www.boliga.dk/adresse/daemningen-3-5500-middelfart-878553345
"Gambøtvej 39, st.., Thurø",5700,Svendborg,9995000,Fritidshus,170,3.0,2024,J,92,25.1,3139.0,2628.0,55.04229,10.66652,https://www.boliga.dk/adresse/gamboetvej-39-st-5700-svendborg-730020502
"Bøgebjergvej 34, Bøgebjerg",5380,Dalby,995000,Fritidshus,56,3.0,1960,-,359,25.2,4722.0,11162.0,55.51251,10.71164,https://www.boliga.dk/adresse/boegebjergvej-34-5380-dalby-1532290971
"Hjarbækvej 1A, Hjarbæk",8831,Løgstrup,6500000,Villa/Parcelhus,194,6.0,1847,D,54,25.3,3275.0,2499.0,56.53075,9.31926,https://www.boliga.dk/adresse/hjarbaekvej-1a-8831-loegstrup-15289590
Holmbjergvej 58,8420,Knebel,5995000,Fritidshus,106,6.0,1931,B,361,25.5,2033.0,826.0,56.20242,10.47099,https://www.boliga.dk/adresse/holmbjergvej-58-8420-knebel-676078856
Dosseringen 8C,5300,Kerteminde,6295000,Villa/Parcelhus,145,6.0,1906,D,150,26.1,4190.0,3441.0,55.44827,10.66006,https://www.boliga.dk/adresse/dosseringen-8c-5300-kerteminde-1376278930
"Sinebjergskov 9, Sinebjerg",5600,Faaborg,3595000,Fritidshus,45,3.0,1932,-,0,26.3,4119.0,13226.0,55.07902,10.17646,https://www.boliga.dk/adresse/sinebjergskov-9-5600-faaborg-1650885944
Vestre Strandvej 40,8420,Knebel,7950000,Fritidshus,76,3.0,2013,-,95,26.6,7996.0,7265.0,56.17745,10.37741,https://www.boliga.dk/adresse/vestre-strandvej-40-8420-knebel-1795558137
Skudehavnen 14A,8400,Ebeltoft,4345000,Fritidshus,132,3.0,1978,C,733,26.9,2954.0,3148.0,56.19256,10.66948,https://www.boliga.dk/adresse/skudehavnen-14a-8400-ebeltoft-33178605
Vestpieren 6,9370,Hals,2175000,Fritidshus,111,4.0,1999,B,488,27.5,6281.0,2177.0,56.99171,10.30538,https://www.boliga.dk/adresse/vestpieren-6-9370-hals-623111222
Strandvejen 19B,4944,Fejø,1195000,Fritidshus,62,4.0,1960,-,100,27.8,2927.0,2552.0,54.93502,11.37668,https://www.boliga.dk/adresse/strandvejen-19b-4944-fejoe-1298276457
Gl Færgevej 20A,7600,Struer,3500000,Fritidshus,213,3.0,2008,b,259,27.8,3706.0,5047.0,56.57184,8.5652,https://www.boliga.dk/adresse/gl-faergevej-20a-7600-struer-837297223
Skudehavnen 15,8400,Ebeltoft,2795000,Fritidshus,92,3.0,1978,c,71,28.2,2946.0,3151.0,56.19253,10.66962,https://www.boliga.dk/adresse/skudehavnen-15-8400-ebeltoft-696025340
Sdr Landevej 25,3730,Nexø,2295000,Villa/Parcelhus,155,4.0,1927,D,63,28.5,1196.0,818.0,55.05431,15.12469,https://www.boliga.dk/adresse/sdr-landevej-25-3730-nexoe-922784443
"Fjordvejen 38, Gørding",7570,Vemb,2195000,Fritidshus,180,6.0,1928,C,44,28.7,1089.0,4460.0,56.34131,8.25691,https://www.boliga.dk/adresse/fjordvejen-38-7570-vemb-1313035456
"Østre Strandvej 146, Hasmark Strand",5450,Otterup,2795000,Fritidshus,52,2.0,1939,-,308,28.9,3290.0,9045.0,55.55972,10.47005,https://www.boliga.dk/adresse/oestre-strandvej-146-5450-otterup-1439890206
"Dæmningsvej 9, Nørre Vedby",4840,Nørre Alslev,1345000,Fritidshus,119,3.0,1870,-,246,29.0,3929.0,9074.0,54.93758,11.80798,https://www.boliga.dk/adresse/daemningsvej-9-4840-noerre-alslev-1399795307
Skydebanevej 9,4780,Stege,5495000,Fritidshus,151,4.0,1893,c,206,29.0,327.0,1142.0,55.00161,12.27342,https://www.boliga.dk/adresse/skydebanevej-9-4780-stege-1646477097
Havnegade 35,4900,Nakskov,3750000,Villa/Parcelhus,313,8.0,1910,e,442,29.1,2142.0,1883.0,54.8297,11.13386,https://www.boliga.dk/adresse/havnegade-35-4900-nakskov-1884058093
Øen Barneholm 1,4900,Nakskov,18000000,Fritidshus,318,8.0,1965,-,1075,29.3,1407.0,4636.0,54.82736,11.08867,https://www.boliga.dk/adresse/oeen-barneholm-1-4900-nakskov-1909694106
"Sellerup Strandvej 40, Brejning",7080,Børkop,7100000,Villa/Parcelhus,130,3.0,2004,K,20,29.6,4203.0,5192.0,55.68408,9.68281,https://www.boliga.dk/adresse/sellerup-strandvej-40-7080-boerkop-335890729
Strandvejen 19,5960,Marstal,5795000,Fritidshus,136,5.0,1904,c,34,29.9,7213.0,1134.0,54.85979,10.51821,https://www.boliga.dk/adresse/strandvejen-19-5960-marstal-340885850
"Kløften 1, Høruphav",6470,Sydals,4695000,Villa/Parcelhus,168,5.0,1850,C,96,30.0,3428.0,2453.0,54.90833,9.89614,https://www.boliga.dk/adresse/kloeften-1-6470-sydals-2115785982
"Fælledvej 8, Mørkholt",7080,Børkop,4950000,Fritidshus,85,3.0,1937,-,348,30.1,2160.0,3137.0,55.64874,9.74189,https://www.boliga.dk/adresse/faelledvej-8-7080-boerkop-999142270
Spodsbjergstien 13,3390,Hundested,12000000,Fritidshus,125,4.0,1915,-,14,30.5,3831.0,2081.0,55.98119,11.87031,https://www.boliga.dk/adresse/spodsbjergstien-13-3390-hundested-935691886
